brokertitle,type,beds,bath,propertysqft,address,state,main_address,administrative_area_level_2,locality,sublocality,street_name,long_name,formatted_address,latitude,longitude,price
Brokered by Realty Connect USA LLC,Co-op for sale,1,1.0,2184.207862,1360 Ocean Ave Apt 2L,"Brooklyn, NY 11230","1360 Ocean Ave Apt 2LBrooklyn, NY 11230",United States,New York,Kings County,Brooklyn,1360,"1360 Ocean Ave #2l, Brooklyn, NY 11230, USA",40.6291705,-73.9575654,230000
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1,1.0,2184.207862,401 W End Ave Unit 3E,"Manhattan, NY 10024","401 W End Ave Unit 3EManhattan, NY 10024",New York,New York County,New York,Manhattan,401,"401 West End Ave # 3d, New York, NY 10024, USA",40.7845412,-73.981249,775000
Brokered by R A L ENTERPRISES,House for sale,4,2.0,1744.0,966 E 42nd St,"Brooklyn, NY 11210","966 E 42nd StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 42nd Street,"966 E 42nd St, Brooklyn, NY 11210, USA",40.631398,-73.9361773,790000
Brokered by Metro Net Realty Llc,House for sale,2,2.0,2184.207862,76-22 57th Rd,"Middle Village, NY 11379","76-22 57th RdMiddle Village, NY 11379",United States,New York,Queens County,Queens,57th Road,"76-22 57th Rd, Flushing, NY 11379, USA",40.727192,-73.883684,705000
Brokered by NY Empire Real Estate,Co-op for sale,1,1.0,2184.207862,98-20 62 Dr Unit 15F,"Rego Park, NY 11374","98-20 62 Dr Unit 15FRego Park, NY 11374",New York,Queens County,Queens,Rego Park,9820,"9820 62nd Dr Apt 15h, Rego Park, NY 11374, USA",40.7334099,-73.85851,275000
Brokered by Park Assets Real Estate Corp,House for sale,3,4.0,2184.207862,137-25 133rd Ave,"Jamaica, NY 11436","137-25 133rd AveJamaica, NY 11436",United States,New York,Queens County,Queens,133rd Avenue,"137-25 133rd Ave, Jamaica, NY 11436, USA",40.6693668,-73.7996259,1700000
"Brokered by BEN BAY REALTY, CO.",Pending,4,4.0,2780.0,114 Tyrrell St,"Staten Island, NY 10307","114 Tyrrell StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,Tyrrell Street,"114 Tyrrell St, Staten Island, NY 10307, USA",40.5124611,-74.2488941,838000
Brokered by Winzone Realty Inc,House for sale,5,6.0,7723.0,14446 Boulevard,"Malba, NY 11357","14446 BoulevardMalba, NY 11357",United States,New York,Queens County,Queens,Boulevard,"144-46 Boulevard, Malba, NY 11357, USA",40.7924222,-73.8260759,3900000
Brokered by Bond New York- Columbus Circle,Co-op for sale,3,2.0,2184.207862,203 W 102nd St Apt 1F,"New York, NY 10025","203 W 102nd St Apt 1FNew York, NY 10025",New York,New York County,New York,Manhattan,203,"203 W 102nd St #1f, New York, NY 10025, USA",40.7982086,-73.9680164,999000
Brokered by REAL NEW YORK - Lower East Side,Co-op for sale,1,1.0,2184.207862,346 W 56th St Apt 1A,"New York, NY 10019","346 W 56th St Apt 1ANew York, NY 10019",New York,New York County,New York,Manhattan,346,"346 W 56th St #1a, New York, NY 10019, USA",40.7667403,-73.9855052,500000
Brokered by Coldwell Banker Realty,Co-op for sale,1,1.0,700.0,5800 Arlington Ave Apt 21A,"Bronx, NY 10471","5800 Arlington Ave Apt 21ABronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5800,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",40.9073699,-73.9065578,350000
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,1,1.0,2184.207862,401 W End Ave Unit 3E,"Manhattan, NY 10024","401 W End Ave Unit 3EManhattan, NY 10024",New York,New York County,New York,Manhattan,401,"401 West End Ave # 3d, New York, NY 10024, USA",40.7845412,-73.981249,775000
Brokered by Exp Realty,Co-op for sale,2,1.0,750.0,2018 E 59th St Unit 159D,"Old Mill Basin, NY 11234","2018 E 59th St Unit 159DOld Mill Basin, NY 11234",New York,Kings County,Brooklyn,Mill Basin,2018,"2018 E 59th St # 159f, Brooklyn, NY 11234, USA",40.6152328,-73.9176941,249999
Brokered by Nexthome All Island,House for sale,6,4.0,2112.0,222-44 41st Rd,"Bayside, NY 11361","222-44 41st RdBayside, NY 11361",United States,New York,Queens County,Queens,41st Road,"222-44 41st Rd, Flushing, NY 11361, USA",40.7645123,-73.7595302,1300000
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,1,2.0,822.0,2 River Ter Apt 3F,"New York, NY 10282","2 River Ter Apt 3FNew York, NY 10282",New York,New York County,New York,Manhattan,2,"2 River Terrace #3f, New York, NY 10282, USA",40.7152964,-74.0160671,1350000
Brokered by Signature Premier Properties,Multi-family home for sale,6,5.0,3096.0,1857 Holland Ave,"Bronx, NY 10462","1857 Holland AveBronx, NY 10462",United States,New York,Bronx County,The Bronx,Holland Avenue,"1857 Holland Ave, Bronx, NY 10462, USA",40.8471618,-73.8650964,915000
Brokered by Yoreevo Llc,Co-op for sale,2,2.0,2184.207862,168 E 90th St Apt 3W,"New York, NY 10128","168 E 90th St Apt 3WNew York, NY 10128",New York,New York County,New York,Manhattan,168,"168 E 90th St #3w, New York, NY 10128, USA",40.781483,-73.952964,950000
Brokered by Serhant,Condo for sale,3,4.0,2950.0,10 Sullivan St Unit 10A,"New York, NY 10012","10 Sullivan St Unit 10ANew York, NY 10012",New York,New York County,New York,Manhattan,10,"10 Sullivan St #10a, New York, NY 10012, USA",40.724558,-74.004173,9995000
Brokered by E Realty International Corp,Condo for sale,1,1.0,554.0,65-18 Austin St Unit 2C,"Rego Park, NY 11374","65-18 Austin St Unit 2CRego Park, NY 11374",New York,Queens County,Queens,Rego Park,65-18,"65-18 Austin St #2c, Rego Park, NY 11374, USA",40.7259759,-73.8599803,478900
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op for sale,2,1.0,1000.0,303 W 66th St Apt 20DW,"New York, NY 10023","303 W 66th St Apt 20DWNew York, NY 10023",New York,New York County,New York,Manhattan,303,"303 W 66th St #20d, New York, NY 10023, USA",40.776554,-73.9876401,995000
Brokered by Century 21 Papp Realty,House for sale,3,4.0,2100.0,20 Gabriele Ct,"Staten Island, NY 10312","20 Gabriele CtStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,Gabrielle Court,"20 Gabrielle Ct, Staten Island, NY 10312, USA",40.551314,-74.1670026,880000
Brokered by RE MAX Real Estate Professionals,Co-op for sale,1,1.0,880.0,275 Webster Ave Apt 5A,"Brooklyn, NY 11230","275 Webster Ave Apt 5ABrooklyn, NY 11230",New York,Kings County,Brooklyn,Kensington,275,"275 Webster Ave #5a, Brooklyn, NY 11230, USA",40.6329634,-73.9709274,275000
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,1,2.0,807.0,10 Little West St Apt 20D,"New York, NY 10004","10 Little West St Apt 20DNew York, NY 10004",New York,New York County,New York,Manhattan,10,"10 Little W St #20d, New York, NY 10004, USA",40.7055917,-74.0172159,999999
Brokered by O Kane Realty,Co-op for sale,1,1.0,2184.207862,112-50 Northern Blvd Unit 1E,"Corona, NY 11368","112-50 Northern Blvd Unit 1ECorona, NY 11368",New York,Queens County,Queens,Corona,11250,"11250 Northern Blvd Apt 1f, Corona, NY 11368, USA",40.7581299,-73.8569399,149000
"Brokered by Foxworth Realty, Inc.",Co-op for sale,1,1.0,2184.207862,3015 Riverdale Ave Apt 6A,"New York, NY 10463","3015 Riverdale Ave Apt 6ANew York, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,3015,"3015 Riverdale Ave #6a, Bronx, NY 10463, USA",40.8809305,-73.9107494,279000
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,House for sale,24,8.0,9500.0,29 Hampton Pl,"Brooklyn, NY 11213","29 Hampton PlBrooklyn, NY 11213",United States,New York,Kings County,Brooklyn,Hampton Place,"29 Hampton Pl, Brooklyn, NY 11213, USA",40.6717953,-73.9407352,3500000
Brokered by Fillmore Real Estate,House for sale,2,2.0,862.0,1755 E 51st St,"Brooklyn, NY 11234","1755 E 51st StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,East 51st Street,"1755 E 51st St, Brooklyn, NY 11234, USA",40.6175251,-73.9255226,639000
Brokered by Piastro Realty LLC,Co-op for sale,1,1.0,780.0,40 Brighton 1 Rd Unit 6B,"Brooklyn, NY 11235","40 Brighton 1 Rd Unit 6BBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,40,"40 Brighton 1st Rd #6b, Brooklyn, NY 11235, USA",40.5756277,-73.9667833,311000
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home for sale,14,6.0,5103.0,1565 Saint Peters Ave,"Bronx, NY 10461","1565 Saint Peters AveBronx, NY 10461",United States,New York,Bronx County,The Bronx,Saint Peters Avenue,"1565 St Peters Ave, Bronx, NY 10461, USA",40.8403844,-73.8478179,1300000
Brokered by EXIT REALTY FIRST CHOICE,Co-op for sale,2,2.0,1300.0,1835 Corporal Kennedy St Apt 2F,"Bayside, NY 11360","1835 Corporal Kennedy St Apt 2FBayside, NY 11360",New York,Queens County,Queens,Bayside,18-35,"18-35 Corporal Kennedy St #2f, Bayside, NY 11360, USA",40.7808597,-73.7834998,299999
Brokered by Amorelli Realty LLC,Pending,3,2.0,2184.207862,24-47 43rd St,"Astoria, NY 11103","24-47 43rd StAstoria, NY 11103",United States,New York,Queens County,Queens,43rd Street,"24-47 43rd St, Astoria, NY 11103, USA",40.7671317,-73.9087817,875000
Brokered by Excell Choice Realty,House for sale,3,1.0,2184.207862,1278 Schenectady Ave,"Brooklyn, NY 11203","1278 Schenectady AveBrooklyn, NY 11203",United States,New York,Kings County,Brooklyn,Schenectady Avenue,"1278 Schenectady Ave, Brooklyn, NY 11203, USA",40.6414423,-73.9325148,799000
Brokered by Brownstone Real Estate LLC - Carroll Gardens,Townhouse for sale,4,4.0,4600.0,75 2nd Pl,"Brooklyn, NY 11231","75 2nd PlBrooklyn, NY 11231",United States,New York,Kings County,Brooklyn,2nd Place,"75 2nd Pl, Brooklyn, NY 11231, USA",40.6800067,-73.9982111,5295000
Brokered by Exp Realty,Multi-family home for sale,6,2.0,1634.0,1622 Adams St,"Bronx, NY 10460","1622 Adams StBronx, NY 10460",United States,New York,Bronx County,The Bronx,Adams Street,"1622 Adams St, Bronx, NY 10460, USA",40.8403637,-73.870081,600000
Brokered by CENTURY 21 Marciano,House for sale,3,4.0,4450.0,610 City Island Ave,"Bronx, NY 10464","610 City Island AveBronx, NY 10464",United States,New York,Bronx County,The Bronx,City Island Avenue,"610 City Island Ave, Bronx, NY 10464, USA",40.854862,-73.7906694,1299000
"Brokered by Robert Defalco Realty, Inc.",Multi-family home for sale,6,5.0,3816.0,730 Bay St,"Staten Island, NY 10304","730 Bay StStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Bay Street,"730 Bay St, Staten Island, NY 10304, USA",40.6241719,-74.0746007,1099000
Brokered by Great Success Realty Inc,Multi-family home for sale,5,2.0,2184.207862,455 Irving Ave,"Brooklyn, NY 11237","455 Irving AveBrooklyn, NY 11237",United States,New York,Kings County,Brooklyn,Irving Avenue,"455 Irving Ave, Brooklyn, NY 11237, USA",40.6958927,-73.9084857,1800000
"Brokered by BEN BAY REALTY, CO.",Pending,3,3.0,1392.0,245 Doane Ave,"Staten Island, NY 10308","245 Doane AveStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,Doane Avenue,"245 Doane Ave, Staten Island, NY 10308, USA",40.5556599,-74.1550879,599000
Brokered by E Realty International Corp,Condo for sale,2,2.0,721.0,60-70 Woodhaven Blvd Unit 3C,"Elmhurst, NY 11373","60-70 Woodhaven Blvd Unit 3CElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,60-70,"60-70 Woodhaven Blvd #3c, Elmhurst, NY 11373, USA",40.7301358,-73.871999,550000
Brokered by Coldwell Banker Reliable Real Estate,Multi-family home for sale,32,12.0,7200.0,154 E 105th St,"New York, NY 10029","154 E 105th StNew York, NY 10029",United States,New York,New York County,New York,East 105th Street,"154 E 105th St, New York, NY 10029, USA",40.791206,-73.946512,4000000
Brokered by Winzone Realty Inc,Co-op for sale,1,1.0,900.0,142-05 Roosevelt Ave Unit 703,"Flushing, NY 11354","142-05 Roosevelt Ave Unit 703Flushing, NY 11354",New York,Queens County,Queens,Flushing,14205,"14205 Roosevelt Ave Apt 703, Flushing, NY 11354, USA",40.7607942,-73.8258766,438000
Brokered by Douglas Elliman - New Hyde Park,Co-op for sale,2,1.0,675.0,247-16A 76 Ave Unit 1FL,"Bellerose, NY 11426","247-16A 76 Ave Unit 1FLBellerose, NY 11426",New York,Queens County,Queens,Jamaica,247-16,"247-16 76th Ave #1fl, Jamaica, NY 11426, USA",40.7444053,-73.7237661,310000
Brokered by COMPASS,Co-op for sale,1,1.0,2184.207862,35-51 85th St Unit 6F,"Queens, NY 11372","35-51 85th St Unit 6FQueens, NY 11372",New York,Queens County,Queens,Jackson Heights,35-51,"35-51 85th St #6f, Jackson Heights, NY 11372, USA",40.7507495,-73.8811907,315000
Brokered by Coldwell Banker Warburg,Condo for sale,3,3.0,1862.0,475 Greenwich St Apt 2A,"New York, NY 10013","475 Greenwich St Apt 2ANew York, NY 10013",New York,New York County,New York,Manhattan,475,"475 Greenwich St #2a, New York, NY 10013, USA",40.7241961,-74.0091487,3595000
Brokered by Charles Rutenberg Realty Inc,Pending,6,2.3738608579684373,3384.0,254-06 Craft Ave Unit 2,"Jamaica, NY 11422","254-06 Craft Ave Unit 2Jamaica, NY 11422",New York,Queens County,Queens,Jamaica,254-06,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",40.6499031,-73.7354706,950000
Brokered by Connie Profaci Realty,House for sale,2,2.0,1518.0,1085 Todt Hill Rd,"Staten Island, NY 10304","1085 Todt Hill RdStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Todt Hill Road,"1085 Todt Hill Rd, Staten Island, NY 10304, USA",40.5839283,-74.1113788,1193000
Brokered by Exp Realty,Multi-family home for sale,6,4.0,2808.0,4036 Bell Ave,"Bronx, NY 10466","4036 Bell AveBronx, NY 10466",United States,New York,Bronx County,The Bronx,Bell Avenue,"4036 Bell Ave, Bronx, NY 10466, USA",40.8928243,-73.8348075,1200000
Brokered by RE MAX 1st Choice,House for sale,4,2.0,2340.0,240-67 Poplar St,"Douglaston, NY 11363","240-67 Poplar StDouglaston, NY 11363",United States,New York,Queens County,Queens,Poplar Street,"240-67 Poplar St, Flushing, NY 11363, USA",40.7690548,-73.7444989,1280000
Brokered by EXP Realty,Co-op for sale,2,1.0,2184.207862,37-50 87th St Unit 6B,"Jackson Heights, NY 11372","37-50 87th St Unit 6BJackson Heights, NY 11372",United States,New York,Queens County,Queens,87th Street,"37-50 87th St, Jackson Heights, NY 11372, USA",40.7483992,-73.8795703,465000
"Brokered by BEN BAY REALTY CO OF BAY RIDGE, LLC",Co-op for sale,1,1.0,780.0,8901 Shore Rd Apt 7E,"Brooklyn, NY 11209","8901 Shore Rd Apt 7EBrooklyn, NY 11209",Kings County,Brooklyn,Fort Hamilton,Shore Road,Harbor View Towers,"Harbor View Towers, 8901 Shore Rd #7e, Brooklyn, NY 11209, USA",40.6230753,-74.0403471,599000
Brokered by RE MAX 1st Choice,House for sale,4,4.0,3645.0,2-11 147 St,"Whitestone, NY 11357","2-11 147 StWhitestone, NY 11357",United States,New York,Queens County,Queens,147th Street,"2-11 147th St, Flushing, NY 11357, USA",40.7968959,-73.822999,1750000
Brokered by Midas Realty,Condo for sale,3,2.0,1200.0,206-04 Emily Rd Unit 37M,"Bayside, NY 11360","206-04 Emily Rd Unit 37MBayside, NY 11360",New York,Queens County,Queens,Bayside,206-4,"206-4 Emily Rd #37, Bayside, NY 11360, USA",40.7881763,-73.7877051,759000
"Brokered by Chris Homes & Lands, Inc.",House for sale,3,2.0,2340.0,825 Rockland Ave,"Staten Island, NY 10314","825 Rockland AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,Rockland Avenue,"825 Rockland Ave, Staten Island, NY 10314, USA",40.5887913,-74.1444799,799000
Brokered by RE MAX Edge,Multi-family home for sale,4,5.0,3100.0,47-19 99th St,"Corona, NY 11368","47-19 99th StCorona, NY 11368",United States,New York,Queens County,Queens,99th Street,"47-19 99th St, Flushing, NY 11368, USA",40.744266,-73.862867,1180000
Brokered by Re/Max In The City,Co-op for sale,2,1.0,800.0,6200 Riverdale Ave Apt 4H,"Bronx, NY 10471","6200 Riverdale Ave Apt 4HBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,6200,"6200 Riverdale Ave #4h, Bronx, NY 10471, USA",40.9117719,-73.9024392,230000
Brokered by BESMATCH REAL ESTATE,Multi-family home for sale,3,2.3738608579684373,2034.0,2728 Hone Ave,"Bronx, NY 10469","2728 Hone AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,Hone Avenue,"2728 Hone Ave, Bronx, NY 10469, USA",40.8665092,-73.8574012,699000
Brokered by Diamond Real Inc,Condo for sale,3,3.0,1800.0,70 Oceana Dr W Ph 1D,"Brooklyn, NY 11235","70 Oceana Dr W Ph 1DBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,70,"70 Oceana Dr W Ph 1D, Brooklyn, NY 11235, USA",40.5770098,-73.958346,1999999
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,3,2.0,1625.0,133 Beach 116th St # F,"Queens, NY 11694","133 Beach 116th St # FQueens, NY 11694",United States,New York,Queens County,Queens,Beach 116th Street,"133 Beach 116th St, Rockaway Park, NY 11694, USA",40.5783596,-73.8365039,1400000
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,6,2.3738608579684373,3312.0,95-18 42 Ave,"Elmhurst, NY 11373","95-18 42 AveElmhurst, NY 11373",United States,New York,Queens County,Queens,42nd Avenue,"95-18 42nd Ave, Elmhurst, NY 11373, USA",40.7459265,-73.868944,1250000
Brokered by Keller Williams Realty Greater Nassau,House for sale,5,3.0,5600.0,1233 Todt Hill Rd,"Staten Island, NY 10304","1233 Todt Hill RdStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,Todt Hill Road,"1233 Todt Hill Rd, Staten Island, NY 10304, USA",40.5813757,-74.1131912,1599000
Brokered by Daniel Gale of Brooklyn LLC,Townhouse for sale,4,2.0,2266.0,5473 Kings Hwy,"Brooklyn, NY 11203","5473 Kings HwyBrooklyn, NY 11203",United States,New York,Kings County,Brooklyn,Kings Highway,"5473 Kings Hwy, Brooklyn, NY 11203, USA",40.6430292,-73.9248566,700000
Brokered by JM Properties,Land for sale,3,2.3738608579684373,2184.207862,409 Slater Blvd,"Staten Island, NY 10305","409 Slater BlvdStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,Slater Boulevard,"409 Slater Blvd, Staten Island, NY 10305, USA",40.5771876,-74.0829699,399900
Brokered by Keller Williams Rty Gold Coast,Co-op for sale,2,1.0,2184.207862,7538 263rd St Unit A1,"Glen Oaks, NY 11004","7538 263rd St Unit A1Glen Oaks, NY 11004",New York,Queens County,Queens,Glen Oaks,75-38,"75-38 263rd St a1, Glen Oaks, NY 11004, USA",40.7493102,-73.7118303,449000
Brokered by Ashford Homes LLC,Condo for sale,2,2.0,1095.0,2818 W 17th St Apt 1B,"Brooklyn, NY 11224","2818 W 17th St Apt 1BBrooklyn, NY 11224",New York,Kings County,Brooklyn,Coney Island,2818,"2818 W 17th St #1b, Brooklyn, NY 11224, USA",40.5784256,-73.9853674,599000
Brokered by Owner Entry.com,Condo for sale,2,2.0,1258.0,219 Constitution Pl Apt B,"College Point, NY 11356","219 Constitution Pl Apt BCollege Point, NY 11356",United States,New York,Queens County,Queens,Constitution Place,"219 Constitution Pl, College Point, NY 11356, USA",40.7945927,-73.8457338,749000
Brokered by Corcoran Brooklyn Heights,House for sale,5,2.3738608579684373,2184.207862,138-48 229th St,"Queens, NY 11413","138-48 229th StQueens, NY 11413",United States,New York,Queens County,Queens,229th Street,"138-48 229th St, Jamaica, NY 11413, USA",40.6702491,-73.7454183,725000
Brokered by Corcoran West Side,Multi-family home for sale,6,4.0,2184.207862,85 Arlington Ave,"Brooklyn, NY 11207","85 Arlington AveBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Arlington Avenue,"85 Arlington Ave, Brooklyn, NY 11207, USA",40.6800398,-73.8914993,1250000
Brokered by Akcess24homes Inc,House for sale,4,2.0,2184.207862,120-09 Linden Blvd,"South Ozone Park, NY 11420","120-09 Linden BlvdSouth Ozone Park, NY 11420",United States,New York,Queens County,Queens,Linden Boulevard,"120-09 Linden Blvd, Jamaica, NY 11420, USA",40.6793288,-73.8192101,849000
Brokered by Promise Realty LLC,Condo for sale,3,1.0,1100.0,5 Metropolitan Oval Apt 10F,"Bronx, NY 10462","5 Metropolitan Oval Apt 10FBronx, NY 10462",New York,Bronx County,The Bronx,Parkchester,5,"5 Metropolitan Oval #10f, Bronx, NY 10462, USA",40.8389829,-73.8601515,357000
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,1,1.0,2184.207862,4901 Henry Hudson Pkwy W Apt 5F,"Bronx, NY 10471","4901 Henry Hudson Pkwy W Apt 5FBronx, NY 10471",New York,Bronx County,The Bronx,Hudson Hill,4901,"4901 Henry Hudson Pkwy W #5f, Bronx, NY 10471, USA",40.8968048,-73.9087471,269000
Brokered by COMPASS,Pending,3,2.0,1520.0,9 Zoe St,"Staten Island, NY 10305","9 Zoe StStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,Zoe Street,"9 Zoe St, Staten Island, NY 10305, USA",40.5878221,-74.097086,550000
Brokered by Brown Harris Stevens,Co-op for sale,2,2.0,1300.0,50 E 10th St Apt 6B,"Manhattan, NY 10003","50 E 10th St Apt 6BManhattan, NY 10003",New York,New York County,New York,Manhattan,50,"50 E 10th St #6b, New York, NY 10003, USA",40.731874,-73.9921379,2425000
"Brokered by Nest Seekers International, Midtown",Townhouse for sale,3,6.0,6336.0,209 E 31st St,"New York, NY 10016","209 E 31st StNew York, NY 10016",United States,New York,New York County,New York,East 31st Street,"209 E 31st St, New York, NY 10016, USA",40.7437415,-73.978774,8950000
Brokered by COMPASS,Co-op for sale,1,1.0,715.0,545 W 111th St Apt 2H,"Manhattan, NY 10025","545 W 111th St Apt 2HManhattan, NY 10025",New York,New York County,New York,Manhattan,545,"545 W 111th St #2b, New York, NY 10025, USA",40.8043692,-73.964408,600000
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,5,2.0,4900.0,234 W 138th St,"New York, NY 10030","234 W 138th StNew York, NY 10030",United States,New York,New York County,New York,West 138th Street,"234 W 138th St, New York, NY 10030, USA",40.8178071,-73.9440991,2995000
Brokered by Corcoran Park Slope,Co-op for sale,2,1.0,800.0,299 13th St Apt 3D,"Brooklyn, NY 11215","299 13th St Apt 3DBrooklyn, NY 11215",New York,Kings County,Brooklyn,Park Slope,299,"299 13th St #3d, Brooklyn, NY 11215, USA",40.6662599,-73.9870141,849000
Brokered by COMPASS,Co-op for sale,3,2.0,1100.0,1506 Overing St Unit STR3,"Bronx, NY 10461","1506 Overing St Unit STR3Bronx, NY 10461",New York,Bronx County,The Bronx,Westchester Square,1506,"1506 Overing St str3, Bronx, NY 10461, USA",40.8409736,-73.8456248,280000
Brokered by Chase Global Realty Corp,House for sale,4,2.0,2184.207862,18 Pine St,"Brooklyn, NY 11208","18 Pine StBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,Pine Street,"18 Pine St, Brooklyn, NY 11208, USA",40.6862137,-73.8740777,699999
Brokered by Century 21 Awaye Realty,Contingent,3,2.0,1592.0,476 Darlington Ave,"Staten Island, NY 10309","476 Darlington AveStaten Island, NY 10309",United States,New York,Richmond County,Staten Island,Darlington Avenue,"476 Darlington Ave, Staten Island, NY 10309, USA",40.5342218,-74.2016301,748000
Brokered by Corcoran East Side,Condo for sale,4,4.0,2863.0,126 E 86th St # 16A,"New York, NY 10028","126 E 86th St # 16ANew York, NY 10028",New York,New York County,New York,Manhattan,126,"126 East 86th St #16a, New York, NY 10028, USA",40.7794854,-73.9561419,8525000
Brokered by Corcoran Westside Columbus,Townhouse for sale,6,2.3738608579684373,7110.0,248 W 71st St,"New York, NY 10023","248 W 71st StNew York, NY 10023",United States,New York,New York County,New York,West 71st Street,"248 W 71st St, New York, NY 10023, USA",40.7785441,-73.9840907,23900000
Brokered by E Realty International Corp,Condo for sale,2,1.0,655.0,91-23 Corona Ave Unit 4G,"Elmhurst, NY 11373","91-23 Corona Ave Unit 4GElmhurst, NY 11373",New York,Queens County,Queens,Flushing,91-23,"91-23 Corona Ave. #4b, Flushing, NY 11373, USA",40.7427705,-73.8727516,598125
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,8,4.0,6425.0,14 Stuyvesant Ave,"Brooklyn, NY 11221","14 Stuyvesant AveBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,Stuyvesant Avenue,"14 Stuyvesant Ave, Brooklyn, NY 11221, USA",40.6960918,-73.9349507,2500000
Brokered by Winzone Realty Inc,Multi-family home for sale,4,3.0,2184.207862,104-40 Alstyne Ave,"Corona, NY 11368","104-40 Alstyne AveCorona, NY 11368",United States,New York,Queens County,Queens,Alstyne Avenue,"104-40 Alstyne Ave, Flushing, NY 11368, USA",40.7431111,-73.8574241,899000
Brokered by Douglas Elliman - Bayside,Condo for sale,3,1.0,2184.207862,2 Bay Club Dr Apt 21H,"Bayside, NY 11360","2 Bay Club Dr Apt 21HBayside, NY 11360",New York,Queens County,Queens,Bayside,2,"2 Bay Club Dr #21h, Bayside, NY 11360, USA",40.7781488,-73.782075,368000
Brokered by EXP Realty,Townhouse for sale,2,2.0,1364.0,266 Corona Ave,"Staten Island, NY 10306","266 Corona AveStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Corona Avenue,"266 Corona Ave, Staten Island, NY 10306, USA",40.5634891,-74.1422664,475000
Brokered by Steven Corcoran Real Estate LLC - Steven Corcoran Real Estate TudorCity.com,Co-op for sale,3,1.0,250.0,321 E 43rd St Apt 211,"New York, NY 10017","321 E 43rd St Apt 211New York, NY 10017",New York,New York County,New York,Manhattan,321,"321 E 43rd St Apt 211, New York, NY 10017, USA",40.750236,-73.9707571,259000
Brokered by Corcoran Brooklyn Heights,Condo for sale,1,2.0,752.0,140 E 63rd St # 4MN,"New York, NY 10065","140 E 63rd St # 4MNNew York, NY 10065",New York,New York County,New York,Manhattan,140,"140 E 63rd St #4n, New York, NY 10065, USA",40.7644486,-73.9662417,1345000
Brokered by RE MAX Elite,Co-op for sale,2,1.0,900.0,946 59th St Apt 4B,"Brooklyn, NY 11219","946 59th St Apt 4BBrooklyn, NY 11219",New York,Kings County,Brooklyn,Borough Park,946,"946 59th St #4b, Brooklyn, NY 11219, USA",40.6339124,-74.0058434,418888
Brokered by Brown Harris Stevens,Co-op for sale,1,1.0,2184.207862,9 Barrow St Apt 6G,"Manhattan, NY 10014","9 Barrow St Apt 6GManhattan, NY 10014",New York,New York County,New York,Manhattan,9,"9 Barrow St #6b, New York, NY 10014, USA",40.7326742,-74.0023327,800000
Brokered by EXIT REALTY FIRST CHOICE,Co-op for sale,2,2.0,1300.0,1835 Corporal Kennedy St Apt 2F,"Bayside, NY 11360","1835 Corporal Kennedy St Apt 2FBayside, NY 11360",New York,Queens County,Queens,Bayside,18-35,"18-35 Corporal Kennedy St #2f, Bayside, NY 11360, USA",40.7808597,-73.7834998,299999
NoBroker,Multi-family home for sale,8,2.3738608579684373,2184.207862,2324 60th St,"Brooklyn, NY 11204","2324 60th StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,60th Street,"2324 60th St, Brooklyn, NY 11204, USA",40.6147578,-73.9757141,2000000
